area,department,month,total_spent,complaints_handled,avg_cost
Hadapsar,Municipal Waste Management Department,2024-01,123576,57,2168
Hadapsar,Municipal Waste Management Department,2024-02,130152,51,2552
Hadapsar,Municipal Waste Management Department,2024-03,48192,32,1506
Hadapsar,Municipal Waste Management Department,2024-04,76890,66,1165
Hadapsar,Municipal Waste Management Department,2024-05,57449,29,1981
Hadapsar,Municipal Waste Management Department,2024-06,101910,43,2370
Hadapsar,Municipal Waste Management Department,2024-07,64372,38,1694
Hadapsar,Municipal Waste Management Department,2024-08,49560,40,1239
Hadapsar,Municipal Waste Management Department,2024-09,93070,41,2270
Hadapsar,Municipal Waste Management Department,2024-10,57100,25,2284
Hadapsar,Municipal Waste Management Department,2024-11,224488,88,2551
Hadapsar,Municipal Waste Management Department,2024-12,164688,94,1752
Hadapsar,Water Supply and Sanitation Department,2024-01,43953,49,897
Hadapsar,Water Supply and Sanitation Department,2024-02,177376,92,1928
Hadapsar,Water Supply and Sanitation Department,2024-03,129792,64,2028
Hadapsar,Water Supply and Sanitation Department,2024-04,113454,54,2101
Hadapsar,Water Supply and Sanitation Department,2024-05,67781,23,2947
Hadapsar,Water Supply and Sanitation Department,2024-06,19350,25,774
Hadapsar,Water Supply and Sanitation Department,2024-07,138852,87,1596
Hadapsar,Water Supply and Sanitation Department,2024-08,101268,87,1164
Hadapsar,Water Supply and Sanitation Department,2024-09,82756,68,1217
Hadapsar,Water Supply and Sanitation Department,2024-10,34125,13,2625
Hadapsar,Water Supply and Sanitation Department,2024-11,144144,63,2288
Hadapsar,Water Supply and Sanitation Department,2024-12,76024,52,1462
Hadapsar,Electricity Distribution Department,2024-01,35768,34,1052
Hadapsar,Electricity Distribution Department,2024-02,83404,29,2876
Hadapsar,Electricity Distribution Department,2024-03,134385,85,1581
Hadapsar,Electricity Distribution Department,2024-04,70594,47,1502
Hadapsar,Electricity Distribution Department,2024-05,150258,79,1902
Hadapsar,Electricity Distribution Department,2024-06,63713,29,2197
Hadapsar,Electricity Distribution Department,2024-07,87550,34,2575
Hadapsar,Electricity Distribution Department,2024-08,148491,63,2357
Hadapsar,Electricity Distribution Department,2024-09,57085,49,1165
Hadapsar,Electricity Distribution Department,2024-10,55944,36,1554
Hadapsar,Electricity Distribution Department,2024-11,85756,44,1949
Hadapsar,Electricity Distribution Department,2024-12,87040,34,2560
Hadapsar,Public Works Department,2024-01,69520,88,790
Hadapsar,Public Works Department,2024-02,32616,24,1359
Hadapsar,Public Works Department,2024-03,92906,41,2266
Hadapsar,Public Works Department,2024-04,121770,41,2970
Hadapsar,Public Works Department,2024-05,13915,11,1265
Hadapsar,Public Works Department,2024-06,62296,52,1198
Hadapsar,Public Works Department,2024-07,124173,81,1533
Hadapsar,Public Works Department,2024-08,56712,68,834
Hadapsar,Public Works Department,2024-09,158311,53,2987
Hadapsar,Public Works Department,2024-10,43740,54,810
Hadapsar,Public Works Department,2024-11,35550,30,1185
Hadapsar,Public Works Department,2024-12,182942,82,2231
Hadapsar,Environmental Protection Department,2024-01,183547,91,2017
Hadapsar,Environmental Protection Department,2024-02,88165,55,1603
Hadapsar,Environmental Protection Department,2024-03,72192,48,1504
Hadapsar,Environmental Protection Department,2024-04,114802,61,1882
Hadapsar,Environmental Protection Department,2024-05,34510,58,595
Hadapsar,Environmental Protection Department,2024-06,17430,30,581
Hadapsar,Environmental Protection Department,2024-07,45144,36,1254
Hadapsar,Environmental Protection Department,2024-08,44239,41,1079
Hadapsar,Environmental Protection Department,2024-09,102858,79,1302
Hadapsar,Environmental Protection Department,2024-10,9621,9,1069
Hadapsar,Environmental Protection Department,2024-11,37333,37,1009
Hadapsar,Environmental Protection Department,2024-12,232518,78,2981
Hadapsar,Traffic and Transportation Department,2024-01,40250,46,875
Hadapsar,Traffic and Transportation Department,2024-02,16380,7,2340
Hadapsar,Traffic and Transportation Department,2024-03,14436,9,1604
Hadapsar,Traffic and Transportation Department,2024-04,162640,76,2140
Hadapsar,Traffic and Transportation Department,2024-05,246993,87,2839
Hadapsar,Traffic and Transportation Department,2024-06,42200,40,1055
Hadapsar,Traffic and Transportation Department,2024-07,22824,36,634
Hadapsar,Traffic and Transportation Department,2024-08,81877,41,1997
Hadapsar,Traffic and Transportation Department,2024-09,77216,32,2413
Hadapsar,Traffic and Transportation Department,2024-10,17960,10,1796
Hadapsar,Traffic and Transportation Department,2024-11,6620,5,1324
Hadapsar,Traffic and Transportation Department,2024-12,195605,95,2059
Hadapsar,Environmental Protection Department,2024-01,84286,74,1139
Hadapsar,Environmental Protection Department,2024-02,72666,99,734
Hadapsar,Environmental Protection Department,2024-03,137860,61,2260
Hadapsar,Environmental Protection Department,2024-04,119124,54,2206
