department,area,total_budget,used_budget,remaining_budget
Sanitation Department,Hadapsar,80649,16738,63911
Sanitation Department,Shivajinagar,87717,22886,64831
Sanitation Department,Kothrud,63143,32444,30699
Sanitation Department,Aundh,93297,42809,50488
Sanitation Department,Baner,99275,31482,67793
Sanitation Department,Kharadi,79298,24672,54626
Sanitation Department,Wagholi,79075,25513,53562
Sanitation Department,Yerwada,99362,41227,58135
Sanitation Department,Kondhwa,76528,53747,22781
Sanitation Department,Warje,82090,37354,44736
Sanitation Department,Sinhagad Road,44361,33634,10727
Sanitation Department,Karve Nagar,52776,39485,13291
Sanitation Department,Dhayari,86087,31355,54732
Sanitation Department,Bavdhan,82774,24878,57896
Sanitation Department,Viman Nagar,87438,14538,72900
Sanitation Department,Koregaon Park,95592,10744,84848
Sanitation Department,NIBM Road,61471,38804,22667
Sanitation Department,Swargate,86074,76170,9904
Sanitation Department,Tilak Road,60583,27508,33075
Sanitation Department,Camp,81494,53715,27779
Sanitation Department,Mundhwa,66319,24974,41345
Sanitation Department,Bibwewadi,71847,21720,50127
Sanitation Department,Fatima Nagar,58258,29442,28816
Sanitation Department,Katraj,60854,45949,14905
Sanitation Department,Magarpatta,82352,72662,9690
Sanitation Department,Wanowrie,53808,47445,6363
Sanitation Department,Pashan,55149,32522,22627
Sanitation Department,Pimpri,82687,39400,43287
Sanitation Department,Nigdi,41573,28094,13479
Sanitation Department,Chinchwad,48412,13987,34425
Water Supply Department,Hadapsar,74367,56802,17565
Water Supply Department,Shivajinagar,71917,42206,29711
Water Supply Department,Kothrud,63011,54934,8077
Water Supply Department,Aundh,52389,28560,23829
Water Supply Department,Baner,81329,58459,22870
Water Supply Department,Kharadi,61939,16557,45382
Water Supply Department,Wagholi,88373,51581,36792
Water Supply Department,Yerwada,98556,41441,57115
Water Supply Department,Kondhwa,56429,15948,40481
Water Supply Department,Warje,70904,61835,9069
Water Supply Department,Sinhagad Road,99988,73292,26696
Water Supply Department,Karve Nagar,66948,21252,45696
Water Supply Department,Dhayari,91157,52076,39081
Water Supply Department,Bavdhan,79035,36989,42046
Water Supply Department,Viman Nagar,43538,10427,33111
Water Supply Department,Koregaon Park,99673,62262,37411
Water Supply Department,NIBM Road,93309,21096,72213
Water Supply Department,Swargate,67521,19378,48143
Water Supply Department,Tilak Road,70243,61323,8920
Water Supply Department,Camp,54207,47483,6724
Water Supply Department,Mundhwa,85341,69882,15459
Water Supply Department,Bibwewadi,55396,27856,27540
Water Supply Department,Fatima Nagar,80077,18411,61666
Water Supply Department,Katraj,62803,23135,39668
Water Supply Department,Magarpatta,67640,59199,8441
Water Supply Department,Wanowrie,84545,20095,64450
Water Supply Department,Pashan,54911,16612,38299
Water Supply Department,Pimpri,62316,41620,20696
Water Supply Department,Nigdi,73760,51251,22509
Water Supply Department,Chinchwad,53300,13718,39582
Roads and Transport Department,Hadapsar,60631,14567,46064
