complaint_id,complaint_text,area,type,filing_date,department,predicted_priority,status,area_eta,type_eta,resolved_days,resolution_date,predicted_priority_eta,rating,feedback_text,resolution_status,actual_cost,resolved_on,predicted_cost,actual_cost_anomaly,variance_flag,type_anomaly,area_anomaly
C0001,"Uncollected garbage near Lane 54 in Bavdhan, causing health concerns.",Bavdhan,Garbage Issue,2025-01-13,Garbage Issue,Medium,In Progress,Chinchwad,Drainage Problem,19,2024-02-23,Medium,1,Not satisfied with the service.,Completed,7683,2024-05-25,7285,7683,Yes,Garbage Issue,Bavdhan
C0002,"Frequent power cuts near Lane 3 in Hadapsar, needs investigation.",Hadapsar,Electricity Issue,2025-02-28,Road Damage,Low,Pending,Camp,Animal Nuisance,9,2024-03-22,Low,2,"Not bad, not great.",Completed,1468,2024-04-08,1403,1468,No,Electricity Issue,Hadapsar
C0003,"Unauthorized parking near Lane 64 in Koregaon Park, causing congestion.",Koregaon Park,Illegal Parking,2025-02-03,Road Damage,Medium,Resolved,Erandwane,Animal Nuisance,2,2024-04-16,Medium,5,"Resolved quickly, thanks!",In Progress,0,,360,0,Yes,Illegal Parking,Koregaon Park
C0004,"Uncollected garbage near Lane 11 in Bibwewadi, causing health concerns.",Bibwewadi,Garbage Issue,2025-04-09,Electricity Issue,Medium,Pending,Pimpri,Road Damage,19,2024-02-27,Medium,2,Very poor response.,Completed,1336,2024-10-01,1106,1336,No,Garbage Issue,Bibwewadi
C0005,"Tree fallen near Lane 19 in Shivajinagar, blocking road and footpath.",Shivajinagar,Tree Falling,2025-01-20,Tree Falling,Low,Pending,Fursungi,Road Damage,13,2024-04-28,Low,5,Issue handled professionally.,Completed,3697,2024-02-15,3303,3697,Yes,Tree Falling,Shivajinagar
C0006,"Unauthorized parking near Lane 6 in Erandwane, causing congestion.",Erandwane,Illegal Parking,2025-03-28,Tree Falling,High,Pending,Fursungi,Drainage Problem,19,2024-12-26,High,5,Appreciate the fast response.,Completed,7520,2024-03-24,7091,7520,Yes,Illegal Parking,Erandwane
C0007,"Damaged road with potholes near Lane 32 in Kondhwa, dangerous for vehicles.",Kondhwa,Road Damage,2025-02-12,Water Issue,Low,Pending,Bibwewadi,Illegal Construction,19,2024-04-25,Low,2,Issue still persists.,In Progress,0,,200,0,No,Road Damage,Kondhwa
C0008,"Stray dogs causing fear near Lane 27 in Hadapsar, especially for kids.",Hadapsar,Animal Nuisance,2025-04-06,Streetlight Issue,Low,Resolved,Pashan,Water Leakage,16,2024-09-14,Low,2,Not satisfied with the service.,In Progress,0,,-480,0,Yes,Animal Nuisance,Hadapsar
C0009,"Streetlights not working near Lane 53 in Warje, causing night-time hazards.",Warje,Streetlight Issue,2025-01-03,Streetlight Issue,Medium,In Progress,Kothrud,Road Damage,8,2024-05-12,Medium,5,Very satisfied with the resolution.,Completed,8164,2024-02-28,8278,8164,No,Streetlight Issue,Warje
C0010,"Streetlights not working near Lane 52 in Warje, causing night-time hazards.",Warje,Streetlight Issue,2025-01-16,Sewage Problem,Low,Pending,Erandwane,Tree Fall,2,2024-02-17,Low,1,Issue still persists.,In Progress,0,,-379,0,Yes,Streetlight Issue,Warje
