area,department,month,total_spent,complaints_handled,avg_cost
Hadapsar,Sanitation Department,2024-01,123576,57,2168
Hadapsar,Sanitation Department,2024-02,130152,51,2552
Hadapsar,Sanitation Department,2024-03,48192,32,1506
Hadapsar,Sanitation Department,2024-04,76890,66,1165
Hadapsar,Sanitation Department,2024-05,57449,29,1981
Hadapsar,Sanitation Department,2024-06,101910,43,2370
Hadapsar,Sanitation Department,2024-07,64372,38,1694
Hadapsar,Sanitation Department,2024-08,49560,40,1239
Hadapsar,Sanitation Department,2024-09,93070,41,2270
Hadapsar,Sanitation Department,2024-10,57100,25,2284
Hadapsar,Sanitation Department,2024-11,224488,88,2551
Hadapsar,Sanitation Department,2024-12,164688,94,1752
Hadapsar,Water Supply Department,2024-01,43953,49,897
Hadapsar,Water Supply Department,2024-02,177376,92,1928
Hadapsar,Water Supply Department,2024-03,129792,64,2028
Hadapsar,Water Supply Department,2024-04,113454,54,2101
Hadapsar,Water Supply Department,2024-05,67781,23,2947
Hadapsar,Water Supply Department,2024-06,19350,25,774
Hadapsar,Water Supply Department,2024-07,138852,87,1596
Hadapsar,Water Supply Department,2024-08,101268,87,1164
Hadapsar,Water Supply Department,2024-09,82756,68,1217
Hadapsar,Water Supply Department,2024-10,34125,13,2625
Hadapsar,Water Supply Department,2024-11,144144,63,2288
Hadapsar,Water Supply Department,2024-12,76024,52,1462
Hadapsar,Electricity Board,2024-01,35768,34,1052
Hadapsar,Electricity Board,2024-02,83404,29,2876
Hadapsar,Electricity Board,2024-03,134385,85,1581
Hadapsar,Electricity Board,2024-04,70594,47,1502
Hadapsar,Electricity Board,2024-05,150258,79,1902
Hadapsar,Electricity Board,2024-06,63713,29,2197
Hadapsar,Electricity Board,2024-07,87550,34,2575
Hadapsar,Electricity Board,2024-08,148491,63,2357
Hadapsar,Electricity Board,2024-09,57085,49,1165
Hadapsar,Electricity Board,2024-10,55944,36,1554
Hadapsar,Electricity Board,2024-11,85756,44,1949
Hadapsar,Electricity Board,2024-12,87040,34,2560
Hadapsar,Road Maintenance Department,2024-01,69520,88,790
Hadapsar,Road Maintenance Department,2024-02,32616,24,1359
Hadapsar,Road Maintenance Department,2024-03,92906,41,2266
Hadapsar,Road Maintenance Department,2024-04,121770,41,2970
Hadapsar,Road Maintenance Department,2024-05,13915,11,1265
Hadapsar,Road Maintenance Department,2024-06,62296,52,1198
Hadapsar,Road Maintenance Department,2024-07,124173,81,1533
Hadapsar,Road Maintenance Department,2024-08,56712,68,834
Hadapsar,Road Maintenance Department,2024-09,158311,53,2987
Hadapsar,Road Maintenance Department,2024-10,43740,54,810
Hadapsar,Road Maintenance Department,2024-11,35550,30,1185
Hadapsar,Road Maintenance Department,2024-12,182942,82,2231
Hadapsar,Environmental Control,2024-01,183547,91,2017
Hadapsar,Environmental Control,2024-02,88165,55,1603
Hadapsar,Environmental Control,2024-03,72192,48,1504
Hadapsar,Environmental Control,2024-04,114802,61,1882
Hadapsar,Environmental Control,2024-05,34510,58,595
Hadapsar,Environmental Control,2024-06,17430,30,581
Hadapsar,Environmental Control,2024-07,45144,36,1254
Hadapsar,Environmental Control,2024-08,44239,41,1079
Hadapsar,Environmental Control,2024-09,102858,79,1302
Hadapsar,Environmental Control,2024-10,9621,9,1069
Hadapsar,Environmental Control,2024-11,37333,37,1009
Hadapsar,Environmental Control,2024-12,232518,78,2981
Hadapsar,Traffic Police,2024-01,40250,46,875
Hadapsar,Traffic Police,2024-02,16380,7,2340
Hadapsar,Traffic Police,2024-03,14436,9,1604
Hadapsar,Traffic Police,2024-04,162640,76,2140
Hadapsar,Traffic Police,2024-05,246993,87,2839
Hadapsar,Traffic Police,2024-06,42200,40,1055
Hadapsar,Traffic Police,2024-07,22824,36,634
Hadapsar,Traffic Police,2024-08,81877,41,1997
Hadapsar,Traffic Police,2024-09,77216,32,2413
Hadapsar,Traffic Police,2024-10,17960,10,1796
Hadapsar,Traffic Police,2024-11,6620,5,1324
Hadapsar,Traffic Police,2024-12,195605,95,2059
Hadapsar,Noise Regulation Department,2024-01,84286,74,1139
Hadapsar,Noise Regulation Department,2024-02,72666,99,734
Hadapsar,Noise Regulation Department,2024-03,137860,61,2260
Hadapsar,Noise Regulation Department,2024-04,119124,54,2206
Hadapsar,Noise Regulation Department,2024-05,193313,79,2447
Hadapsar,Noise Regulation Department,2024-06,69904,34,2056
Hadapsar,Noise Regulation Department,2024-07,97980,69,1420
Hadapsar,Noise Regulation Department,2024-08,142630,85,1678
Hadapsar,Noise Regulation Department,2024-09,268090,95,2822
Hadapsar,Noise Regulation Department,2024-10,165000,66,2500
Hadapsar,Noise Regulation Department,2024-11,255265,95,2687
Hadapsar,Noise Regulation Department,2024-12,27070,10,2707
Hadapsar,Tree Plantation Authority,2024-01,34440,42,820
Hadapsar,Tree Plantation Authority,2024-02,11952,16,747
Hadapsar,Tree Plantation Authority,2024-03,259805,91,2855
Hadapsar,Tree Plantation Authority,2024-04,156704,83,1888
Hadapsar,Tree Plantation Authority,2024-05,106377,59,1803
Hadapsar,Tree Plantation Authority,2024-06,139104,69,2016
Hadapsar,Tree Plantation Authority,2024-07,147740,83,1780
Hadapsar,Tree Plantation Authority,2024-08,87720,30,2924
Hadapsar,Tree Plantation Authority,2024-09,100232,34,2948
Hadapsar,Tree Plantation Authority,2024-10,71326,38,1877
Hadapsar,Tree Plantation Authority,2024-11,213500,100,2135
Hadapsar,Tree Plantation Authority,2024-12,32144,56,574
Hadapsar,Animal Control,2024-01,53640,24,2235
Hadapsar,Animal Control,2024-02,231868,98,2366
Hadapsar,Animal Control,2024-03,164430,58,2835
Hadapsar,Animal Control,2024-04,77427,63,1229
Hadapsar,Animal Control,2024-05,76415,85,899
Hadapsar,Animal Control,2024-06,26576,16,1661
Hadapsar,Animal Control,2024-07,119250,75,1590
Hadapsar,Animal Control,2024-08,132900,60,2215
Hadapsar,Animal Control,2024-09,194370,93,2090
Hadapsar,Animal Control,2024-10,6965,5,1393
Hadapsar,Animal Control,2024-11,75816,27,2808
Hadapsar,Animal Control,2024-12,54180,84,645
Hadapsar,Construction Regulation Department,2024-01,12159,9,1351
Hadapsar,Construction Regulation Department,2024-02,49216,32,1538
Hadapsar,Construction Regulation Department,2024-03,77121,57,1353
Hadapsar,Construction Regulation Department,2024-04,27300,35,780
Hadapsar,Construction Regulation Department,2024-05,22284,36,619
Hadapsar,Construction Regulation Department,2024-06,40392,66,612
Hadapsar,Construction Regulation Department,2024-07,99084,92,1077
Hadapsar,Construction Regulation Department,2024-08,87208,88,991
Hadapsar,Construction Regulation Department,2024-09,121132,44,2753
Hadapsar,Construction Regulation Department,2024-10,57918,21,2758
Hadapsar,Construction Regulation Department,2024-11,27672,24,1153
Hadapsar,Construction Regulation Department,2024-12,203098,89,2282
Kothrud,Sanitation Department,2024-01,147190,82,1795
Kothrud,Sanitation Department,2024-02,56780,20,2839
Kothrud,Sanitation Department,2024-03,42381,51,831
Kothrud,Sanitation Department,2024-04,12468,6,2078
Kothrud,Sanitation Department,2024-05,92738,89,1042
Kothrud,Sanitation Department,2024-06,123486,66,1871
Kothrud,Sanitation Department,2024-07,161786,82,1973
Kothrud,Sanitation Department,2024-08,13700,20,685
Kothrud,Sanitation Department,2024-09,90528,82,1104
Kothrud,Sanitation Department,2024-10,264592,92,2876
Kothrud,Sanitation Department,2024-11,238572,94,2538
Kothrud,Sanitation Department,2024-12,78058,62,1259
Kothrud,Water Supply Department,2024-01,34450,53,650
Kothrud,Water Supply Department,2024-02,183744,87,2112
Kothrud,Water Supply Department,2024-03,42300,15,2820
Kothrud,Water Supply Department,2024-04,79616,32,2488
Kothrud,Water Supply Department,2024-05,40052,19,2108
Kothrud,Water Supply Department,2024-06,83898,59,1422
Kothrud,Water Supply Department,2024-07,183951,81,2271
Kothrud,Water Supply Department,2024-08,175020,60,2917
Kothrud,Water Supply Department,2024-09,100856,56,1801
Kothrud,Water Supply Department,2024-10,32160,48,670
Kothrud,Water Supply Department,2024-11,95292,36,2647
Kothrud,Water Supply Department,2024-12,28578,33,866
Kothrud,Electricity Board,2024-01,73880,40,1847
Kothrud,Electricity Board,2024-02,77280,92,840
Kothrud,Electricity Board,2024-03,107848,52,2074
Kothrud,Electricity Board,2024-04,108528,56,1938
Kothrud,Electricity Board,2024-05,27040,26,1040
Kothrud,Electricity Board,2024-06,95715,45,2127
Kothrud,Electricity Board,2024-07,87750,78,1125
Kothrud,Electricity Board,2024-08,155561,71,2191
Kothrud,Electricity Board,2024-09,43731,43,1017
Kothrud,Electricity Board,2024-10,93500,50,1870
Kothrud,Electricity Board,2024-11,59625,45,1325
Kothrud,Electricity Board,2024-12,143150,70,2045
Kothrud,Road Maintenance Department,2024-01,71630,65,1102
Kothrud,Road Maintenance Department,2024-02,103806,73,1422
Kothrud,Road Maintenance Department,2024-03,28272,16,1767
Kothrud,Road Maintenance Department,2024-04,118487,47,2521
Kothrud,Road Maintenance Department,2024-05,54740,23,2380
Kothrud,Road Maintenance Department,2024-06,20325,15,1355
Kothrud,Road Maintenance Department,2024-07,33984,16,2124
Kothrud,Road Maintenance Department,2024-08,24435,45,543
Kothrud,Road Maintenance Department,2024-09,173320,70,2476
Kothrud,Road Maintenance Department,2024-10,34762,26,1337
Kothrud,Road Maintenance Department,2024-11,32496,16,2031
Kothrud,Road Maintenance Department,2024-12,180246,66,2731
Kothrud,Environmental Control,2024-01,117176,97,1208
Kothrud,Environmental Control,2024-02,240963,93,2591
Kothrud,Environmental Control,2024-03,56007,21,2667
Kothrud,Environmental Control,2024-04,116832,96,1217
Kothrud,Environmental Control,2024-05,55748,44,1267
Kothrud,Environmental Control,2024-06,77841,93,837
Kothrud,Environmental Control,2024-07,199995,67,2985
Kothrud,Environmental Control,2024-08,71460,45,1588
Kothrud,Environmental Control,2024-09,16680,20,834
Kothrud,Environmental Control,2024-10,108570,66,1645
Kothrud,Environmental Control,2024-11,162652,74,2198
Kothrud,Environmental Control,2024-12,140200,100,1402
Kothrud,Traffic Police,2024-01,20471,11,1861
Kothrud,Traffic Police,2024-02,9256,8,1157
Kothrud,Traffic Police,2024-03,224688,93,2416
Kothrud,Traffic Police,2024-04,95184,48,1983
Kothrud,Traffic Police,2024-05,33464,47,712
Kothrud,Traffic Police,2024-06,132000,88,1500
Kothrud,Traffic Police,2024-07,107200,100,1072
Kothrud,Traffic Police,2024-08,126378,59,2142
Kothrud,Traffic Police,2024-09,65047,29,2243
Kothrud,Traffic Police,2024-10,35684,44,811
Kothrud,Traffic Police,2024-11,16990,10,1699
Kothrud,Traffic Police,2024-12,94962,38,2499
Kothrud,Noise Regulation Department,2024-01,256714,94,2731
Kothrud,Noise Regulation Department,2024-02,62370,35,1782
Kothrud,Noise Regulation Department,2024-03,98480,40,2462
Kothrud,Noise Regulation Department,2024-04,11205,5,2241
Kothrud,Noise Regulation Department,2024-05,28275,29,975
Kothrud,Noise Regulation Department,2024-06,20995,19,1105
Kothrud,Noise Regulation Department,2024-07,85376,46,1856
Kothrud,Noise Regulation Department,2024-08,97556,58,1682
Kothrud,Noise Regulation Department,2024-09,20664,7,2952
Kothrud,Noise Regulation Department,2024-10,30159,27,1117
Kothrud,Noise Regulation Department,2024-11,120120,52,2310
Kothrud,Noise Regulation Department,2024-12,110580,38,2910
Kothrud,Tree Plantation Authority,2024-01,65520,30,2184
Kothrud,Tree Plantation Authority,2024-02,86486,83,1042
Kothrud,Tree Plantation Authority,2024-03,56060,20,2803
Kothrud,Tree Plantation Authority,2024-04,140030,67,2090
Kothrud,Tree Plantation Authority,2024-05,21035,35,601
Kothrud,Tree Plantation Authority,2024-06,142228,74,1922
Kothrud,Tree Plantation Authority,2024-07,135954,83,1638
Kothrud,Tree Plantation Authority,2024-08,124700,50,2494
Kothrud,Tree Plantation Authority,2024-09,77184,96,804
Kothrud,Tree Plantation Authority,2024-10,212510,79,2690
Kothrud,Tree Plantation Authority,2024-11,22593,17,1329
Kothrud,Tree Plantation Authority,2024-12,65780,92,715
Kothrud,Animal Control,2024-01,41839,43,973
Kothrud,Animal Control,2024-02,171166,61,2806
Kothrud,Animal Control,2024-03,44104,37,1192
Kothrud,Animal Control,2024-04,111075,75,1481
Kothrud,Animal Control,2024-05,97948,94,1042
Kothrud,Animal Control,2024-06,163954,98,1673
Kothrud,Animal Control,2024-07,187210,97,1930
Kothrud,Animal Control,2024-08,67137,23,2919
Kothrud,Animal Control,2024-09,28938,39,742
Kothrud,Animal Control,2024-10,186190,86,2165
Kothrud,Animal Control,2024-11,12740,20,637
Kothrud,Animal Control,2024-12,145873,91,1603
Kothrud,Construction Regulation Department,2024-01,176222,73,2414
Kothrud,Construction Regulation Department,2024-02,79326,54,1469
Kothrud,Construction Regulation Department,2024-03,125580,60,2093
Kothrud,Construction Regulation Department,2024-04,17100,10,1710
Kothrud,Construction Regulation Department,2024-05,157284,68,2313
Kothrud,Construction Regulation Department,2024-06,120704,41,2944
Kothrud,Construction Regulation Department,2024-07,97092,54,1798
Kothrud,Construction Regulation Department,2024-08,9120,12,760
Kothrud,Construction Regulation Department,2024-09,17916,6,2986
Kothrud,Construction Regulation Department,2024-10,27720,24,1155
Kothrud,Construction Regulation Department,2024-11,38338,29,1322
Kothrud,Construction Regulation Department,2024-12,107801,43,2507
Viman Nagar,Sanitation Department,2024-01,200836,74,2714
Viman Nagar,Sanitation Department,2024-02,60926,82,743
Viman Nagar,Sanitation Department,2024-03,144235,65,2219
Viman Nagar,Sanitation Department,2024-04,98936,83,1192
Viman Nagar,Sanitation Department,2024-05,157890,57,2770
Viman Nagar,Sanitation Department,2024-06,149430,85,1758
Viman Nagar,Sanitation Department,2024-07,155077,79,1963
Viman Nagar,Sanitation Department,2024-08,109917,69,1593
Viman Nagar,Sanitation Department,2024-09,18718,7,2674
Viman Nagar,Sanitation Department,2024-10,64512,32,2016
Viman Nagar,Sanitation Department,2024-11,136515,95,1437
Viman Nagar,Sanitation Department,2024-12,172480,88,1960
Viman Nagar,Water Supply Department,2024-01,45752,28,1634
Viman Nagar,Water Supply Department,2024-02,25104,12,2092
Viman Nagar,Water Supply Department,2024-03,11514,6,1919
Viman Nagar,Water Supply Department,2024-04,57684,46,1254
Viman Nagar,Water Supply Department,2024-05,97396,52,1873
Viman Nagar,Water Supply Department,2024-06,19257,21,917
Viman Nagar,Water Supply Department,2024-07,96807,69,1403
Viman Nagar,Water Supply Department,2024-08,123072,96,1282
Viman Nagar,Water Supply Department,2024-09,123037,61,2017
Viman Nagar,Water Supply Department,2024-10,52122,34,1533
Viman Nagar,Water Supply Department,2024-11,133650,81,1650
Viman Nagar,Water Supply Department,2024-12,50544,52,972
Viman Nagar,Electricity Board,2024-01,21126,14,1509
Viman Nagar,Electricity Board,2024-02,21372,13,1644
Viman Nagar,Electricity Board,2024-03,135680,53,2560
Viman Nagar,Electricity Board,2024-04,198531,81,2451
Viman Nagar,Electricity Board,2024-05,115200,80,1440
Viman Nagar,Electricity Board,2024-06,93912,91,1032
Viman Nagar,Electricity Board,2024-07,7833,7,1119
Viman Nagar,Electricity Board,2024-08,109417,77,1421
Viman Nagar,Electricity Board,2024-09,23080,10,2308
Viman Nagar,Electricity Board,2024-10,35360,13,2720
Viman Nagar,Electricity Board,2024-11,11056,8,1382
Viman Nagar,Electricity Board,2024-12,11326,14,809
Viman Nagar,Road Maintenance Department,2024-01,63124,43,1468
Viman Nagar,Road Maintenance Department,2024-02,23193,9,2577
Viman Nagar,Road Maintenance Department,2024-03,152448,64,2382
Viman Nagar,Road Maintenance Department,2024-04,127581,43,2967
Viman Nagar,Road Maintenance Department,2024-05,225302,77,2926
Viman Nagar,Road Maintenance Department,2024-06,78982,46,1717
Viman Nagar,Road Maintenance Department,2024-07,90240,60,1504
Viman Nagar,Road Maintenance Department,2024-08,162486,59,2754
Viman Nagar,Road Maintenance Department,2024-09,191496,79,2424
Viman Nagar,Road Maintenance Department,2024-10,260850,94,2775
Viman Nagar,Road Maintenance Department,2024-11,41040,38,1080
Viman Nagar,Road Maintenance Department,2024-12,57525,39,1475
Viman Nagar,Environmental Control,2024-01,19836,29,684
Viman Nagar,Environmental Control,2024-02,121044,44,2751
Viman Nagar,Environmental Control,2024-03,100419,51,1969
Viman Nagar,Environmental Control,2024-04,31486,13,2422
Viman Nagar,Environmental Control,2024-05,118728,72,1649
Viman Nagar,Environmental Control,2024-06,248292,99,2508
Viman Nagar,Environmental Control,2024-07,103194,91,1134
Viman Nagar,Environmental Control,2024-08,119217,49,2433
Viman Nagar,Environmental Control,2024-09,9135,5,1827
Viman Nagar,Environmental Control,2024-10,162396,78,2082
Viman Nagar,Environmental Control,2024-11,261072,98,2664
Viman Nagar,Environmental Control,2024-12,92120,49,1880
Viman Nagar,Traffic Police,2024-01,128619,93,1383
Viman Nagar,Traffic Police,2024-02,14658,14,1047
