area,department,month,total_spent,complaints_handled,avg_cost,performance,performance_percentage
Hadapsar,Municipal Waste Management Department,Jan-24,123576,57,2168,Bad,0.046125461254612546
Hadapsar,Municipal Waste Management Department,Feb-24,130152,51,2552,Bad,0.03918495297805642
Hadapsar,Municipal Waste Management Department,Mar-24,48192,32,1506,Good,0.06640106241699867
Hadapsar,Municipal Waste Management Department,Apr-24,76890,66,1165,Bad,0.08583690987124463
Hadapsar,Municipal Waste Management Department,May-24,57449,29,1981,Good,0.05047955577990913
Hadapsar,Municipal Waste Management Department,Jun-24,101910,43,2370,Good,0.04219409282700422
Hadapsar,Municipal Waste Management Department,Jul-24,64372,38,1694,Good,0.05903187721369539
Hadapsar,Municipal Waste Management Department,Aug-24,49560,40,1239,Good,0.08071025020177562
Hadapsar,Municipal Waste Management Department,Sep-24,93070,41,2270,Good,0.04405286343612335
Hadapsar,Municipal Waste Management Department,Oct-24,57100,25,2284,Good,0.043782837127845885
Hadapsar,Municipal Waste Management Department,Nov-24,224488,88,2551,Bad,0.03920031360250882
Hadapsar,Municipal Waste Management Department,Dec-24,164688,94,1752,Bad,0.05707762557077625
Hadapsar,Water Supply and Sanitation Department,Jan-24,43953,49,897,Good,0.11148272017837235
Hadapsar,Water Supply and Sanitation Department,Feb-24,177376,92,1928,Bad,0.05186721991701245
Hadapsar,Water Supply and Sanitation Department,Mar-24,129792,64,2028,Bad,0.04930966469428008
Hadapsar,Water Supply and Sanitation Department,Apr-24,113454,54,2101,Bad,0.047596382674916705
Hadapsar,Water Supply and Sanitation Department,May-24,67781,23,2947,Good,0.0339328130302002
Hadapsar,Water Supply and Sanitation Department,Jun-24,19350,25,774,Good,0.12919896640826875
Hadapsar,Water Supply and Sanitation Department,Jul-24,138852,87,1596,Bad,0.06265664160401002
Hadapsar,Water Supply and Sanitation Department,Aug-24,101268,87,1164,Bad,0.0859106529209622
Hadapsar,Water Supply and Sanitation Department,Sep-24,82756,68,1217,Bad,0.08216926869350863
