area,department,month,total_spent,complaints_handled,avg_cost,performance
Hadapsar,Municipal Waste Management Department,January 2024,123576,57,2168,Bad
Hadapsar,Municipal Waste Management Department,February 2024,130152,51,2552,Bad
Hadapsar,Municipal Waste Management Department,March 2024,48192,32,1506,Good
Hadapsar,Municipal Waste Management Department,April 2024,76890,66,1165,Bad
Hadapsar,Municipal Waste Management Department,May 2024,57449,29,1981,Good
Hadapsar,Municipal Waste Management Department,June 2024,101910,43,2370,Good
Hadapsar,Municipal Waste Management Department,July 2024,64372,38,1694,Good
Hadapsar,Municipal Waste Management Department,August 2024,49560,40,1239,Good
Hadapsar,Municipal Waste Management Department,September 2024,93070,41,2270,Good
Hadapsar,Municipal Waste Management Department,October 2024,57100,25,2284,Good
Hadapsar,Municipal Waste Management Department,November 2024,224488,88,2551,Bad
Hadapsar,Municipal Waste Management Department,December 2024,164688,94,1752,Bad
Hadapsar,Water Supply and Sanitation Department,January 2024,43953,49,897,Good
Hadapsar,Water Supply and Sanitation Department,February 2024,177376,92,1928,Bad
Hadapsar,Water Supply and Sanitation Department,March 2024,129792,64,2028,Bad
Hadapsar,Water Supply and Sanitation Department,April 2024,113454,54,2101,Bad
Hadapsar,Water Supply and Sanitation Department,May 2024,67781,23,2947,Good
Hadapsar,Water Supply and Sanitation Department,June 2024,19350,25,774,Good
Hadapsar,Water Supply and Sanitation Department,July 2024,138852,87,1596,Bad
Hadapsar,Water Supply and Sanitation Department,August 2024,101268,87,1164,Bad
Hadapsar,Water Supply and Sanitation Department,September 2024,82756,68,1217,Bad
Hadapsar,Water Supply and Sanitation Department,October 2024,34125,13,2625,Good
Hadapsar,Water Supply and Sanitation Department,November 2024,144144,63,2288,Bad
Hadapsar,Water Supply and Sanitation Department,December 2024,76024,52,1462,Bad
Hadapsar,Electricity Distribution Department,January 2024,35768,34,1052,Good
Hadapsar,Electricity Distribution Department,February 2024,83404,29,2876,Good
Hadapsar,Electricity Distribution Department,March 2024,134385,85,1581,Bad
Hadapsar,Electricity Distribution Department,April 2024,70594,47,1502,Good
Hadapsar,Electricity Distribution Department,May 2024,150258,79,1902,Bad
Hadapsar,Electricity Distribution Department,June 2024,63713,29,2197,Good
Hadapsar,Electricity Distribution Department,July 2024,87550,34,2575,Good
Hadapsar,Electricity Distribution Department,August 2024,148491,63,2357,Bad
Hadapsar,Electricity Distribution Department,September 2024,57085,49,1165,Good
Hadapsar,Electricity Distribution Department,October 2024,55944,36,1554,Good
